epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,59404.9,1.15554,0.85318,1.06261,0.76655,0.60309,0.68833,0.43074,1.3129,0.89837,1.07206,0.0008713,0.0008713,0.0008713
132,60076.1,1.15663,0.85445,1.06247,0.76427,0.60557,0.68876,0.43069,1.31232,0.89793,1.07196,0.00087031,0.00087031,0.00087031
133,60412.3,1.15802,0.85395,1.06332,0.76258,0.60595,0.68899,0.43098,1.31198,0.89758,1.07184,0.00086932,0.00086932,0.00086932
134,60746.7,1.15645,0.85345,1.06283,0.76171,0.60664,0.68924,0.43142,1.31156,0.89739,1.07169,0.00086833,0.00086833,0.00086833
135,61080.3,1.15478,0.85241,1.06286,0.76276,0.60495,0.68934,0.43154,1.31077,0.89673,1.0715,0.00086734,0.00086734,0.00086734
136,61412.2,1.15443,0.85025,1.06162,0.76944,0.60167,0.68917,0.43205,1.3093,0.89613,1.07104,0.00086635,0.00086635,0.00086635
137,61747.7,1.15465,0.85055,1.06109,0.76706,0.60432,0.6898,0.43234,1.30962,0.89552,1.07118,0.00086536,0.00086536,0.00086536
138,62081.8,1.15304,0.84901,1.06081,0.77003,0.60277,0.68998,0.43265,1.30866,0.89477,1.07085,0.00086437,0.00086437,0.00086437
139,62538.5,1.15224,0.84944,1.06214,0.77286,0.60017,0.68958,0.433,1.30737,0.89438,1.07077,0.00086338,0.00086338,0.00086338
140,62871.5,1.15354,0.84719,1.06162,0.77413,0.60073,0.68997,0.43371,1.30643,0.89437,1.07054,0.00086239,0.00086239,0.00086239
141,63207.4,1.15176,0.8467,1.06074,0.77044,0.60079,0.68991,0.43359,1.3061,0.8936,1.07042,0.0008614,0.0008614,0.0008614
142,63539.6,1.15265,0.84643,1.06132,0.7708,0.60137,0.69006,0.43358,1.30605,0.8935,1.07048,0.00086041,0.00086041,0.00086041
143,63874.6,1.1495,0.84454,1.05887,0.77088,0.60276,0.69046,0.43376,1.30545,0.89271,1.07024,0.00085942,0.00085942,0.00085942
144,64205.9,1.14969,0.84363,1.06048,0.7712,0.60199,0.69045,0.4335,1.30525,0.89233,1.07017,0.00085843,0.00085843,0.00085843
145,64538.9,1.14996,0.84336,1.0601,0.77082,0.60227,0.69076,0.43386,1.30534,0.89214,1.07014,0.00085744,0.00085744,0.00085744
146,64872.6,1.15094,0.84294,1.05795,0.77192,0.60215,0.69095,0.4338,1.30491,0.89164,1.06989,0.00085645,0.00085645,0.00085645
147,65204.5,1.14815,0.84091,1.0582,0.77505,0.60051,0.69115,0.43426,1.30408,0.89102,1.06948,0.00085546,0.00085546,0.00085546
148,66043.1,1.14581,0.83994,1.05719,0.77119,0.60123,0.69153,0.43435,1.30409,0.89053,1.06937,0.00085447,0.00085447,0.00085447
149,66375,1.147,0.84073,1.05757,0.77043,0.60294,0.6914,0.43428,1.30421,0.89065,1.06938,0.00085348,0.00085348,0.00085348
